userId,startedAt,endedAt,startedLocationLat,startedLocationLong,endedLocationLat,endedLocationLong
7pzs/lXXRhr6hsURQQszhTJAE3+GFxHE66w8ut902J4=,2019-05-01 20:31:48.957 UTC,2019-05-01 20:35:48.286 UTC,37.792,-122.3992,37.7949,-122.4022
kjHtMJY4jxd7l3nwCx99ALpwu7+1xYHLRqehxzO8TUI=,2019-05-01 20:34:55.247 UTC,2019-05-01 20:52:48.234 UTC,37.7799,-122.3894,37.8021,-122.4103
l+q7iKGD27TydRltdOrHuTQRE/ZNH+/ANqWZFAzZ45M=,2019-05-01 20:39:40.096 UTC,2019-05-01 21:44:59.099 UTC,37.7949,-122.3934,37.7942,-122.3943
z0fVe0Je/63Ytd9WN2NHkZdPksz5qqOAkw11gPZNA44=,2019-05-01 20:41:17.909 UTC,2019-05-01 20:43:48.343 UTC,37.7736,-122.3878,37.7689,-122.3878
6Qoszvnr+1iwB5nHSceapnqm1P5OMytVG5kKAx00Jhg=,2019-05-01 20:43:16.269 UTC,2019-05-01 21:07:11.889 UTC,37.7611,-122.4281,37.7945,-122.3945
22bYzovdIampvxCwAm9BRisAcx/KnPz4cY32hSdJzug=,2019-05-01 20:44:39.479 UTC,2019-05-01 20:50:50.975 UTC,37.8027,-122.4031,37.8023,-122.4146
jXs+MT1FFJFyeDOWDIgdjFHmXCrzN3+MSPWPfrcdsbo=,2019-05-01 20:47:02.377 UTC,2019-05-01 20:54:56.793 UTC,37.7671,-122.3891,37.7702,-122.393
BwX27Z+DXeIDr96JZ8lMZUr53mXE116B0u6J1y8zuH8=,2019-05-01 20:50:35.579 UTC,2019-05-01 20:58:00.077 UTC,37.7871,-122.3864,37.7893,-122.3968
mF6EOkojbdv17dR0nKyaN+OMkYjnBxW7GZRvRVXH7G8=,2019-05-01 21:24:24.182 UTC,2019-05-01 21:27:04.453 UTC,37.7787,-122.4146,37.7767,-122.4141
eQDy6CCWV9VR997FQ/qnuPYl7wEW9Jf9hBWDZS9Kh4U=,2019-05-01 21:24:27.554 UTC,2019-05-01 21:27:43.441 UTC,37.7958,-122.3943,37.8012,-122.3985
ysGO1IZQeIa8LFFF5fwZ6pWTRn1k6m9szM3hdqFcJz4=,2019-05-01 21:30:06.228 UTC,2019-05-01 21:40:54.206 UTC,37.7699,-122.4203,37.7774,-122.3951
QzPbl3OUyBM6pVKylwWsCQu8XT8hPmJU/aPl10b7kBc=,2019-05-01 21:30:49.765 UTC,2019-05-01 21:33:18.097 UTC,37.7901,-122.4014,37.7902,-122.4008
ejYQ5mgyGzI5sZIuhBkkaZIl5fWdgmxw0axy+sW0yqY=,2019-05-01 21:33:33.132 UTC,2019-05-01 21:49:59.947 UTC,37.7965,-122.411,37.7795,-122.4162
QzPbl3OUyBM6pVKylwWsCQu8XT8hPmJU/aPl10b7kBc=,2019-05-01 21:34:34.908 UTC,2019-05-01 21:37:35.178 UTC,37.7901,-122.3999,37.7908,-122.3964
2fGtTgob3OaznoNQAoUTNaX1IT38TrKIZaZvJMQJbVw=,2019-05-01 21:45:23.458 UTC,2019-05-01 22:05:51.094 UTC,37.7708,-122.4201,37.7707,-122.4202
