station_id,station_name,station_city,latitude,longitude,station_capacity
188,Greenview Ave & Fullerton Ave,Chicago,41.92533,-87.6658,15
190,Southport Ave & Wrightwood Ave,Chicago,41.928773,-87.663913,15
191,Canal St & Monroe St (*),Chicago,41.880884,-87.639525,28
192,Canal St & Adams St,Chicago,41.879255,-87.639904,47
193,State St & 29th St,Chicago,41.841707,-87.626938,15
194,Wabash Ave & Wacker Pl,Chicago,41.886875,-87.62603,19
195,Columbus Dr & Randolph St,Chicago,41.884728,-87.619521,47
196,Cityfront Plaza Dr & Pioneer Ct,Chicago,41.890573,-87.622072,23
197,Michigan Ave & Madison St,Chicago,41.882134,-87.625125,19
198,Green St & Madison St,Chicago,41.881892,-87.648789,19
199,Wabash Ave & Grand Ave,Chicago,41.891466,-87.626761,31
200,MLK Jr Dr & 47th St,Chicago,41.809851,-87.616279,11
201,Indiana Ave & 40th St,Chicago,41.82168,-87.6216,15
202,Halsted St & 18th St,Chicago,41.857499,-87.646277,15
203,Western Ave & 21st St,Chicago,41.854109,-87.685838,15
204,Prairie Ave & Garfield Blvd,Chicago,41.794853,-87.618691,11
205,Paulina St & 18th St,Chicago,41.857901,-87.668745,15
206,Halsted St & Archer Ave,Chicago,41.847203,-87.646795,15
207,Emerald Ave & 28th St,Chicago,41.84358,-87.645368,15
208,Ashland Ave & 21st St,Chicago,41.85381,-87.665897,15
209,Normal Ave & Archer Ave,Chicago,41.849527,-87.640591,11
210,Ashland Ave & Division St,Chicago,41.90345,-87.667747,19
211,St. Clair St & Erie St,Chicago,41.894448,-87.622663,19
212,Orleans St & Ohio St,Chicago,41.892154,-87.636928,23
213,Leavitt St & North Ave,Chicago,41.910153,-87.68229,15
214,Damen Ave & Grand Ave,Chicago,41.89122,-87.67686,23
215,Damen Ave & Madison St,Chicago,41.88137,-87.67493,15
216,California Ave & Division St,Chicago,41.903029,-87.697474,15
217,Racine Ave (May St) & Fulton St,Chicago,41.886926,-87.656919,15
218,Wells St & 19th St,Chicago,41.856802,-87.633879,11
219,Damen Ave & Cortland St,Chicago,41.916027,-87.677411,19
220,Hampden Ct & Diversey Pkwy,Chicago,41.93262,-87.642385,23
222,Milwaukee Ave & Rockwell St,Chicago,41.920195,-87.693033,19
223,Clifton Ave & Armitage Ave,Chicago,41.918216,-87.656936,15
224,Halsted St & Willow St,Chicago,41.913778,-87.64884,19
225,Halsted St & Dickens Ave,Chicago,41.919936,-87.64883,15
226,Racine Ave & Belmont Ave,Chicago,41.939743,-87.658865,15
227,Southport Ave & Waveland Ave,Chicago,41.94815,-87.66394,23
228,Damen Ave & Melrose Ave,Chicago,41.9406,-87.6785,15
229,Southport Ave & Roscoe St,Chicago,41.943739,-87.66402,19
230,Lincoln Ave & Roscoe St,Chicago,41.94334,-87.67097,19
231,Sheridan Rd & Montrose Ave,Chicago,41.96167,-87.65464,23
232,Pine Grove Ave & Waveland Ave,Chicago,41.949275,-87.646303,23
233,Sangamon St & Washington Blvd (*),Chicago,41.883004,-87.651148,16
234,Clark St & Montrose Ave,Chicago,41.961588,-87.666036,19
236,Sedgwick St & Schiller St,Chicago,41.905664,-87.638517,15
237,MLK Jr Dr & 29th St,Chicago,41.842052,-87.617,15
238,Ravenswood Ave & Montrose Ave (*),Chicago,41.961615,-87.674365,16
239,Western Ave & Leland Ave,Chicago,41.966555,-87.688487,19
240,Sheridan Rd & Irving Park Rd,Chicago,41.954245,-87.654406,27
241,Morgan St & Polk St,Chicago ,41.871737,-87.65103,19
242,Damen Ave & Leland Ave,Chicago ,41.967094,-87.679028,15
243,Lincoln Ave & Leavitt St,Chicago ,41.962391,-87.684146,15
244,Ravenswood Ave & Irving Park Rd,Chicago,41.95469,-87.67393,19
245,Clarendon Ave & Junior Ter,Chicago,41.961004,-87.649603,23
246,Ashland Ave & Belle Plaine Ave,Chicago,41.956061,-87.668869,11
247,Shore Dr & 55th St,Chicago,41.795212,-87.580715,19
248,Woodlawn Ave & 55th St,Chicago,41.795264,-87.596471,19
249,Montrose Harbor,Chicago,41.963982,-87.638181,31
250,Ashland Ave & Wellington Ave,Chicago,41.936083,-87.669807,19
251,Clarendon Ave & Leland Ave,Chicago,41.967968,-87.650001,15
252,Greenwood Ave & 47th St,Chicago,41.809835,-87.599383,15
253,Clifton Ave & Lawrence Ave,Chicago,41.968812,-87.657659,15
254,Pine Grove Ave & Irving Park Rd,Chicago,41.954383,-87.648043,15
255,Indiana Ave & Roosevelt Rd,Chicago,41.867888,-87.623041,39
256,Broadway & Sheridan Rd,Chicago,41.952833,-87.649993,15
257,Lincoln Ave & Waveland Ave,Chicago,41.948797,-87.675278,15
258,Logan Blvd & Elston Ave,Chicago,41.930584,-87.685126,19
259,California Ave & Francis Pl,Chicago,41.918121,-87.696972,15
260,Kedzie Ave & Milwaukee Ave,Chicago,41.929567,-87.707857,27
261,Hermitage Ave & Polk St,Chicago,41.871514,-87.669886,15
262,Halsted St & 37th St,Chicago,41.827059,-87.64572,11
263,Rhodes Ave & 32nd St,Chicago,41.836208,-87.613533,11
264,Stetson Ave & South Water St,Chicago,41.886835,-87.62232,19
265,Cottage Grove Ave & Oakwood Blvd,Chicago,41.822985,-87.6071,15
267,Lake Park Ave & 47th St,Chicago,41.809443,-87.591875,15
268,Lake Shore Dr & North Blvd,Chicago,41.911722,-87.626804,39
270,Stony Island Ave & 75th St,Chicago,41.75866967,-87.58688287,11
271,Cottage Grove Ave & 43rd St,Chicago,41.816499,-87.606582,11
272,Indiana Ave & 31st St,Chicago,41.838842,-87.621857,11
273,Michigan Ave & 18th St,Chicago,41.857813,-87.62455,23
274,Racine Ave & 15th St,Chicago,41.861267,-87.656625,15
275,Ashland Ave & 13th St,Chicago,41.865234,-87.666507,15
276,California Ave & North Ave,Chicago,41.91044,-87.6972,11
277,Ashland Ave & Grand Ave,Chicago,41.891072,-87.666611,15
278,Wallace St & 35th St,Chicago,41.830629,-87.64129,15
279,Halsted St & 35th St (*),Chicago,41.830661,-87.647172,16
280,Morgan St & 31st St,Chicago,41.8378,-87.65114,11
281,Western Ave & 24th St,Chicago,41.84847,-87.685109,11
282,Halsted St & Maxwell St,Chicago,41.864883,-87.647071,15
283,LaSalle St & Jackson Blvd,Chicago,41.87817,-87.631985,35
284,Michigan Ave & Jackson Blvd,Chicago,41.87785,-87.62408,23
285,Wood St & Hubbard St,Chicago,41.889587,-87.671956,19
286,Franklin St & Quincy St,Chicago,41.878724,-87.634793,23
287,Franklin St & Monroe St,Chicago,41.880317,-87.635185,27
288,Larrabee St & Armitage Ave,Chicago,41.918084,-87.643749,11
289,Wells St & Concord Ln,Chicago,41.912133,-87.634656,19
290,Kedzie Ave & Palmer Ct,Chicago,41.921525,-87.707322,15
291,Wells St & Evergreen Ave,Chicago,41.906724,-87.63483,19
292,Southport Ave & Clark St,Chicago,41.957081,-87.664199,11
293,Broadway & Wilson Ave,Chicago,41.965221,-87.658139,15
294,Broadway & Berwyn Ave,Chicago,41.978353,-87.659753,15
295,Broadway & Argyle St,Chicago,41.973815,-87.65966,15
296,Broadway & Belmont Ave,Chicago,41.940106,-87.645451,19
297,Paulina St & Montrose Ave,Chicago,41.961507,-87.671387,15
298,Lincoln Ave & Belle Plaine Ave,Chicago,41.955927,-87.679259,15
299,Halsted St & Roscoe St,Chicago,41.94367,-87.64895,15
300,Broadway & Barry Ave,Chicago,41.937725,-87.644095,19
301,Clark St & Schiller St,Chicago,41.907993,-87.631501,19
302,Sheffield Ave & Wrightwood Ave,Chicago,41.928712,-87.653833,19
303,Broadway & Cornelia Ave,Chicago,41.945529,-87.646439,23
304,Broadway & Waveland Ave,Chicago,41.949074,-87.648636,15
